STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,count,identifier,centroid_y,centroid_x,meanmedian,area
17,31,842100,1400000US17031842100,17031842100,8421,CT,2034641,0,2,tract8421,41.89526328,-87.73360417,35528,2.0336
17,31,838200,1400000US17031838200,17031838200,8382,CT,1157570,0,1,tract8382,41.87041266,-87.67506639,38382,1.1618
17,31,81202,1400000US17031081202,17031081202,812.02,CT,204332,530065,1,tract812.02,41.90206456,-87.62438035,100889,0.1885
17,31,250300,1400000US17031250300,17031250300,2503,CT,617326,0,1,tract2503,41.91283538,-87.76084372,31004,0.6164
17,31,420400,1400000US17031420400,17031420400,4204,CT,245128,0,1,tract4204,41.78316878,-87.60355813,14500,0.2451
17,31,61800,1400000US17031061800,17031061800,618,CT,82842,0,1,tract618,41.94649939,-87.64711617,59583,0.0826
17,31,71000,1400000US17031071000,17031071000,710,CT,324639,0,1,tract710,41.92170018,-87.65591181,107716,0.3246
17,31,500300,1400000US17031500300,17031500300,5003,CT,709172,0,1,tract5003,41.6893415,-87.6053709,37679,0.7018
17,31,740400,1400000US17031740400,17031740400,7404,CT,2838807,0,1,tract7404,41.6872342,-87.71930612,80020,2.8369
17,31,770700,1400000US17031770700,17031770700,7707,CT,4677171,0,1,tract7707,41.98542423,-87.86940393,48750,4.6735
17,31,120200,1400000US17031120200,17031120200,1202,CT,2394584,0,1,tract1202,41.9945222,-87.75762927,106522,2.4136
17,31,830900,1400000US17031830900,17031830900,8309,CT,990468,47216,1,tract8309,41.928645,-87.68548665,97794,1.0233
17,31,835900,1400000US17031835900,17031835900,8359,CT,647443,0,1,tract8359,41.82016641,-87.62149279,18627,0.6466
17,31,836200,1400000US17031836200,17031836200,8362,CT,813724,0,1,tract8362,41.79047268,-87.6012849,52308,0.8124
17,31,610300,1400000US17031610300,17031610300,6103,CT,2383590,0,1,tract6103,41.816174,-87.67510577,33631,2.382
17,31,841100,1400000US17031841100,17031841100,8411,CT,1117345,28895,1,tract8411,41.85101045,-87.63511676,27185,1.1526
17,31,841900,1400000US17031841900,17031841900,8419,CT,2496094,68430,1,tract8419,41.867902,-87.64298874,110950,2.566
17,31,10300,1400000US17031010300,17031010300,103,CT,472017,0,1,tract103,42.01585528,-87.66657422,37515,0.4509
17,31,30703,1400000US17031030703,17031030703,307.03,CT,198288,0,1,tract307.03,41.97887822,-87.65788604,41566,0.1972
17,31,30900,1400000US17031030900,17031030900,309,CT,408716,0,1,tract309,41.97978427,-87.67144193,82926,0.4073
17,31,40201,1400000US17031040201,17031040201,402.01,CT,721413,0,1,tract402.01,41.97257616,-87.69399569,62073,0.7206
17,31,50200,1400000US17031050200,17031050200,502,CT,652253,0,1,tract502,41.95774158,-87.68371677,69623,0.6524
17,31,280100,1400000US17031280100,17031280100,2801,CT,564664,29634,1,tract2801,41.8852939,-87.64275224,121074,0.5873
17,31,700401,1400000US17031700401,17031700401,7004.01,CT,1482529,0,1,tract7004.01,41.74553753,-87.71203563,70018,1.4824
17,31,320400,1400000US17031320400,17031320400,3204,CT,806329,649677,1,tract3204,41.87745226,-87.62207084,159583,0.8017
17,31,330100,1400000US17031330100,17031330100,3301,CT,2793585,828956,1,tract3301,41.8595497,-87.61646828,92179,3.1963
17,31,410100,1400000US17031410100,17031410100,4101,CT,220901,265305,1,tract4101,41.80125472,-87.58552578,40287,0.2325
